pc_name,pc_index,total_timesteps,top1_variable,top1_mean_abs_r,top1_wins,top1_count,top2_variable,top2_mean_abs_r,top2_wins,top2_count,top3_variable,top3_mean_abs_r,top3_wins,top3_count
PC_245,245,1453,specific_humidity_lev10,0.056047116989460216,177,1453,specific_humidity_lev12,0.05536494952917084,231,1453,specific_humidity_lev11,0.05536201686667224,169,1453
PC_246,246,1453,vertical_velocity_lev15,0.0701158478168972,119,1453,vertical_velocity_lev14,0.06995892771106298,115,1453,vertical_velocity_lev16,0.06161308277485519,3,1453
PC_247,247,1453,vertical_velocity_lev11,0.05811223566611615,89,1453,vertical_velocity_lev26,0.052415517931169504,40,1453,vertical_velocity_lev27,0.05198074365964099,60,1453
PC_248,248,1453,specific_humidity_lev08,0.0697957330983324,230,1453,specific_humidity_lev09,0.061336096112233146,25,1453,latitude,0.061273863279438644,45,1453
PC_249,249,1453,specific_humidity_lev10,0.06615178583376566,207,1453,specific_humidity_lev25,0.051763356099155854,13,1453,specific_humidity_lev13,0.05086855769283835,22,1453
PC_250,250,1453,specific_humidity_lev10,0.12483274810229597,638,1453,temperature_lev21,0.08775626997026868,2,1453,temperature_lev20,0.08772069514979139,2,1453
PC_251,251,1453,vertical_velocity_lev32,0.0797508868676625,197,1453,vertical_velocity_lev33,0.07914171233024583,127,1453,vertical_velocity_lev31,0.07776750112176761,89,1453
PC_252,252,1453,vertical_velocity_lev09,0.058575952164726226,59,1453,land_sea_mask,0.05209317713418387,165,1453,v_component_of_wind_lev09,0.050774958865001656,60,1453
PC_253,253,1453,v_component_of_wind_lev09,0.0595836561776389,189,1453,vertical_velocity_lev36,0.05191082049394186,36,1453,v_component_of_wind_lev07,0.04762432276626338,55,1453
PC_254,254,1453,temperature_lev34,0.06533482682197185,19,1453,temperature_lev33,0.06529811833564536,23,1453,temperature_lev35,0.06529512863300414,11,1453
PC_255,255,1453,geopotential_lev02,0.04834634953761083,6,1453,geopotential_lev01,0.048285003991357545,2,1453,geopotential_lev03,0.04794928860376799,1,1453
PC_256,256,1453,v_component_of_wind_lev35,0.057014178954786256,105,1453,v_component_of_wind_lev34,0.05640442564402518,99,1453,v_component_of_wind_lev36,0.055766819119915524,82,1453
PC_257,257,1453,vertical_velocity_lev32,0.06766054099098781,52,1453,vertical_velocity_lev31,0.06751350352828406,84,1453,vertical_velocity_lev33,0.06602489658492294,7,1453
PC_258,258,1453,specific_humidity_lev10,0.0638258243284267,260,1453,vertical_velocity_lev32,0.055841761907365194,57,1453,vertical_velocity_lev33,0.05436652698887401,17,1453
PC_259,259,1453,vertical_velocity_lev10,0.07404961772404063,378,1453,specific_humidity_lev07,0.06161027443602842,172,1453,specific_humidity_lev06,0.056248672445309116,116,1453
PC_260,260,1453,specific_humidity_lev10,0.08382022366823766,292,1453,temperature_lev18,0.06687759679673448,1,1453,temperature_lev19,0.06644460794733976,1,1453
PC_261,261,1453,geopotential_lev31,0.05451532577753999,5,1453,geopotential_lev30,0.054449018399142485,2,1453,geopotential_lev32,0.054373949743103084,2,1453
PC_262,262,1453,v_component_of_wind_lev09,0.05547520265559035,185,1453,specific_humidity_lev10,0.0521532149024195,96,1453,vertical_velocity_lev11,0.04997811970574664,24,1453
PC_263,263,1453,vertical_velocity_lev10,0.06184255709571678,156,1453,vertical_velocity_lev09,0.05820381444098822,92,1453,toa_incident_solar_radiation,0.055287196776735395,219,1453
PC_264,264,1453,vertical_velocity_lev25,0.07156905829345218,244,1453,vertical_velocity_lev24,0.06617951125909009,10,1453,vertical_velocity_lev26,0.06183495629272447,1,1453
PC_265,265,1453,longitude_sin,0.053326162057008554,203,1453,temperature_lev36,0.051952543015390415,37,1453,local_time_cos,0.0518374067384477,1,1453
PC_266,266,1453,temperature_lev11,0.053919021031372895,80,1453,temperature_lev34,0.05348831274003566,15,1453,temperature_lev33,0.05322919970188271,17,1453
PC_267,267,1453,specific_humidity_lev10,0.09005989042443321,304,1453,v_component_of_wind_lev09,0.08051114627438952,246,1453,u_component_of_wind_lev07,0.060658048570440985,46,1453
PC_268,268,1453,vertical_velocity_lev30,0.06971819271398894,76,1453,vertical_velocity_lev29,0.06955086461063897,154,1453,specific_humidity_lev10,0.06891119000695022,191,1453
PC_269,269,1453,vertical_velocity_lev12,0.08310280158392783,443,1453,vertical_velocity_lev13,0.07748784752997216,128,1453,vertical_velocity_lev24,0.05284924836603685,12,1453
PC_270,270,1453,geopotential_lev11,0.062289404682544666,7,1453,geopotential_lev12,0.06223148357051969,5,1453,geopotential_lev13,0.0621364689269665,2,1453
PC_271,271,1453,v_component_of_wind_lev09,0.0604732825191812,365,1453,vertical_velocity_lev32,0.05416009486739441,36,1453,vertical_velocity_lev31,0.054124536449108876,23,1453
PC_272,272,1453,u_component_of_wind_lev08,0.04937461575725406,68,1453,u_component_of_wind_lev09,0.04748438828489601,88,1453,vertical_velocity_lev30,0.046852020901087504,52,1453
PC_273,273,1453,vertical_velocity_lev10,0.06989106905460102,254,1453,vertical_velocity_lev36,0.06832905348899267,134,1453,vertical_velocity_lev35,0.06642376544968022,27,1453
PC_274,274,1453,vertical_velocity_lev14,0.06430521131498279,79,1453,vertical_velocity_lev13,0.06320135231102264,78,1453,vertical_velocity_lev15,0.05916545535190991,16,1453
PC_275,275,1453,specific_humidity_lev10,0.060738063296793494,122,1453,specific_humidity_lev34,0.054601495633130756,33,1453,specific_humidity_lev35,0.054398139941476284,26,1453
PC_276,276,1453,specific_humidity_lev10,0.0706299141042014,372,1453,temperature_lev10,0.05268845480483213,58,1453,specific_humidity_lev01,0.05158258729584232,33,1453
PC_277,277,1453,specific_humidity_lev08,0.05570198246961899,182,1453,vertical_velocity_lev10,0.054796026164251756,137,1453,specific_humidity_lev07,0.053259831244273866,65,1453
